,height,lean angle,width,material,n_struts,E1,E2,E3,weight,cost,reliability,IoP E1,IoP E2,IoP E3,CAC E1,CAC E2,CAC E3,IoP,CAC,value
107,14.0,0.0,80,Titanium,12,0.05511422991479543,1.112259401089237,1.0,11.312448000000002,12.4436928,0.6,0.05511422991479546,-0.20693118130610233,1.0,1.8301235160192064,1.8301235160192024,3.8077278782343646,0.2827276828695644,2.4893249700909243,0.25133220732178385
108,14.0,0.0,80,Titanium,14,0.022242886193086585,1.0464534410954816,1.333333333333333,13.197856,14.517641600000005,0.52,0.02224288619308663,-0.21303135920618746,1.3333333333333337,1.5349318183853164,1.534931818385316,2.9145408112549362,0.3808482867734109,1.9948014826751894,-0.08894227821389766
109,14.0,0.0,80,Titanium,16,0.06339645602368732,1.1288397953863234,1.666666666666667,15.083264,16.5915904,0.66,0.06339645602368738,-0.2061716689068633,1.6666666666666663,1.5055891190402988,1.5055891190402988,2.5839913856538836,0.5079638179278302,1.865056541244827,-0.4390532489317259
110,14.0,0.0,80,Titanium,18,0.059151660638675815,1.1203420340032597,2.0,16.968671999999998,18.665539199999998,0.66,0.05915166063867569,-0.20509640468746354,1.9999999999999998,1.5013236308380211,1.5013236308380205,2.5379269303331546,0.618018418650404,1.8468580640030652,-0.734460364715998
111,14.0,0.0,80,Titanium,20,0.072192487622604,1.146448789664213,2.3333333333333335,18.854079999999996,20.739488,0.74,0.07219248762260409,-0.20345517791591963,2.3333333333333335,1.4407760705921824,1.4407760705921817,2.4518939264296393,0.734023547680006,1.7778153558713345,-1.0254236425091532
112,14.0,0.0,80,Titanium,22,0.049081646038764803,1.1001826214916062,2.666666666666666,20.739488,22.81343680000001,0.56,0.04908164603876498,-0.2076775924084414,2.666666666666668,1.493163075827547,1.493163075827548,2.5100855892423004,0.8360235734323305,1.8321372469657984,-1.3130126775987807
113,14.0,0.0,80,Titanium,24,0.08957842963303736,1.18125413909192,3.0,22.624896000000003,24.8873856,0.72,0.08957842963303742,-0.19975064999919348,3.0,1.535956254765914,1.5359562547659136,2.5215256773318075,0.9632759265446147,1.8644793956212116,-1.6671454562614456
114,14.0,0.0,80,Titanium,26,0.05360439587316843,1.1092368267952968,3.333333333333334,24.51030399999999,26.961334399999995,0.6,0.05360439587316839,-0.20700007817841137,3.3333333333333326,1.4107605090329856,1.4107605090329849,2.3469111324145584,1.0599792170093632,1.722810716826843,-1.9155795612981874
115,14.0,0.0,80,Titanium,28,0.05051486980365867,1.103051827768453,3.666666666666666,26.395712,29.03528320000001,0.56,0.050514869803658734,-0.20787967142332192,3.6666666666666674,1.5242498984993846,1.5242498984993842,2.567650405174179,1.1697672883490013,1.8720500673909826,-2.2015073873302247
116,14.0,0.0,80,Titanium,30,0.022738615767909465,1.0474458544523768,4.0,28.28112,31.10923200000001,0.5,0.0227386157679096,-0.21360151687601608,4.0,1.4438757727189009,1.4438757727189009,2.431946611415927,1.2697123662972978,1.773232718951243,-2.5240830091777458
132,14.0,0.0,90,Inconel,10,0.18944943788488536,0.17589550258987394,0.30587058082827595,19.606860000000005,11.764116000000007,0.96,0.1894494378848852,0.010593831150859266,0.30587058082827584,1.6307710539367883,1.630771053936785,4.590536568955808,0.16863794995467343,2.6173595589431273,0.8015837709491519
133,14.0,0.0,90,Inconel,12,0.16356860510650711,0.15030958535955213,0.5663057505756153,23.528232000000013,14.116939200000004,0.9,0.16356860510650692,0.008636458846166206,0.5663057505756152,1.482638472056134,1.4826384720561334,3.5230328051103554,0.2461702715094294,2.162769916407541,0.44713632282417476
134,14.0,0.0,90,Inconel,14,0.19804467415452898,0.18439279499361333,0.8279960275984893,27.449604000000008,16.469762400000008,0.94,0.19804467415452884,0.01074211432300773,0.8279960275984891,1.4472526891445359,1.4472526891445359,3.1193338653165283,0.34559427202534193,2.004613081201867,0.11202618468903043
135,14.0,0.0,90,Inconel,16,0.17629236244063612,0.16288835377853825,1.090086467492194,31.370976000000006,18.822585600000004,0.86,0.176292362440636,0.010880506043953998,1.090086467492194,1.4416625761403936,1.4416625761403925,2.9950248412928064,0.4257531119922613,1.9594499978578643,-0.09933058360676497
136,14.0,0.0,90,Inconel,18,0.18032233597172703,0.16687240522270283,1.3498742611271088,35.292348000000004,21.17540880000001,0.94,0.18032233597172695,0.010837350532661971,1.3498742611271093,1.4418497431811943,1.441849743181195,3.0500147607697765,0.5136779825438328,1.977904749044055,-0.31464592490724036
